district,y_x,score,,
1,6271_13981,0.12599202,,
1,6271_13982,0.09395584,,
1,6271_13983,0.09522595,,
1,6271_13984,0.114816435,,
1,6272_13981,0.1336127,,
1,6272_13982,0.12982622,,
1,6272_13983,0.10598093,,
1,6272_13984,0.09733661,,
1,6272_13985,0.095682256,,
1,6272_13986,0.116940774,,
1,6273_13981,0.13018379,,
1,6273_13982,0.097680464,,
1,6273_13983,0.14777687,,
1,6273_13984,0.11748656,,
1,6273_13985,0.11638245,,
1,6273_13986,0.1312705,,
1,6273_13987,0.09663653,,
1,6274_13980,0.10553242,,
1,6274_13981,0.14300306,,
1,6274_13982,0.11281539,,
1,6274_13983,0.15331791,,
1,6274_13984,0.12819993,,
1,6274_13985,0.1542406,,
1,6274_13986,0.12020929,,
1,6274_13987,0.08966291,,
1,6274_13988,0.143901,,
1,6275_13980,0.17242953,,
1,6275_13981,0.14931026,,
1,6275_13982,0.12984538,,
1,6275_13983,0.18576328,,
1,6275_13984,0.19875638,,
1,6275_13985,0.1852406,,
1,6275_13986,0.08966577,,
1,6275_13987,0.07567888,,
1,6275_13988,0.118103825,,
1,6275_13989,0.22727725,,
1,6276_13979,0.14827056,,
1,6276_13980,0.12866256,,
1,6276_13981,0.12614083,,
1,6276_13982,0.11284687,,
1,6276_13983,0.18393688,,
1,6276_13984,0.18669075,,
1,6276_13985,0.15577759,,
1,6276_13986,0.08674731,,
1,6276_13987,0.11525482,,
1,6276_13988,0.13646138,,
1,6276_13989,0.1321481,,
1,6276_13990,0.09314913,,
1,6277_13976,0.11884038,,
1,6277_13977,0.098028965,,
1,6277_13978,0.14127351,,
1,6277_13979,0.11301331,,
1,6277_13980,0.15801118,,
1,6277_13981,0.09941291,,
1,6277_13982,0.12451676,,
1,6277_13983,0.16993001,,
1,6277_13984,0.11511227,,
1,6277_13985,0.16555749,,
1,6277_13986,0.15532787,,
1,6277_13987,0.1072766,,
1,6277_13988,0.20606013,,
1,6277_13989,0.12565497,,
1,6277_13990,0.113086775,,
1,6278_13976,0.113533095,,
1,6278_13977,0.09995633,,
1,6278_13978,0.19740814,,
1,6278_13979,0.12416074,,
1,6278_13980,0.13503993,,
1,6278_13981,0.119244486,,
1,6278_13982,0.10924378,,
1,6278_13983,0.12432899,,
1,6278_13984,0.11324764,,
1,6278_13985,0.16720857,,
1,6278_13986,0.09971802,,
1,6278_13987,0.1190184,,
1,6278_13988,0.23100844,,
1,6278_13989,0.08485906,,
1,6278_13990,0.12762469,,
1,6279_13976,0.12322264,,
1,6279_13977,0.10324183,,
1,6279_13978,0.16318606,,
1,6279_13979,0.11576811,,
1,6279_13980,0.10254172,,
1,6279_13981,0.1175699,,
1,6279_13982,0.16267262,,
1,6279_13983,0.16899411,,
1,6279_13984,0.15009943,,
1,6279_13985,0.17731543,,
1,6279_13986,0.105422676,,
1,6279_13987,0.0931759,,
1,6279_13988,0.20457909,,
1,6279_13989,0.14227465,,
1,6279_13990,0.10873397,,
1,6280_13975,0.19083782,,
1,6280_13976,0.11437197,,
1,6280_13977,0.16590184,,
1,6280_13978,0.13526046,,
1,6280_13979,0.108216405,,
1,6280_13980,0.12439701,,
1,6280_13981,0.094764784,,
1,6280_13982,0.17673752,,
1,6280_13983,0.17528655,,
1,6280_13984,0.19074416,,
1,6280_13985,0.17312449,,
1,6280_13986,0.10583353,,
1,6280_13987,0.15836856,,
1,6280_13988,0.22212969,,
1,6280_13989,0.15448254,,
1,6281_13975,0.08628964,,
1,6281_13976,0.13065118,,
1,6281_13977,0.121209025,,
1,6281_13978,0.108229995,,
1,6281_13979,0.11455708,,
1,6281_13980,0.10134728,,
1,6281_13981,0.15137626,,
1,6281_13982,0.2236898,,
1,6281_13983,0.17604095,,
1,6281_13984,0.2151266,,
1,6281_13985,0.120950475,,
1,6281_13986,0.09374241,,
1,6281_13987,0.20156413,,
1,6281_13988,0.32846382,,
1,6281_13989,0.19626829,,
1,6282_13976,0.14955592,,
1,6282_13977,0.14325035,,
1,6282_13978,0.15128776,,
1,6282_13979,0.14065635,,
1,6282_13980,0.15400204,,
1,6282_13981,0.1984533,,
1,6282_13982,0.12653612,,
1,6282_13983,0.17787811,,
1,6282_13984,0.14594553,,
1,6282_13985,0.18957901,,
1,6282_13986,0.18337959,,
1,6282_13987,0.25590366,,
1,6282_13988,0.37750173,,
1,6282_13989,0.17076589,,
1,6282_13990,0.21243048,,
1,6283_13976,0.11457847,,
1,6283_13977,0.18160748,,
1,6283_13978,0.25263056,,
1,6283_13979,0.1431189,,
1,6283_13980,0.19954342,,
1,6283_13981,0.16926825,,
1,6283_13982,0.10182475,,
1,6283_13983,0.10618253,,
1,6283_13984,0.14705223,,
1,6283_13985,0.25795266,,
1,6283_13986,0.14727741,,
1,6283_13987,0.26537767,,
