district,y_x,year2016,year2017,year2018,year2019,4years_mean,FA2014,lnFA2014
0,6263_13988,0.0346179,0.0538296,0.07673355,0.03653848,0.050429883,624.9013814,6.437593848
0,6263_13989,0.060719885,0.056182913,0.098493226,0.053401537,0.06719939,22937.43934,10.04052576
0,6263_13990,0.11465508,0.11662873,0.12632105,0.11295065,0.117638878,93518.06929,11.44590995
0,6263_13991,0.07901002,0.086351536,0.11133893,0.08444716,0.090286912,30711.73273,10.33240003
0,6263_13992,0.087588586,0.09613081,0.12438174,0.0960111,0.101028059,36597.54148,10.50773634
0,6264_13987,0,0,0.015821245,0,0.003955311,0,#NUM!
0,6264_13988,0.07053023,0.048259463,0.09113309,0.065069266,0.068748012,5507.34395,8.613837744
0,6264_13989,0.10185109,0.111534104,0.119034,0.10507995,0.109374786,16317.1138,9.699969762
0,6264_13990,0.0710717,0.08788606,0.145206,0.07977547,0.095984808,35881.17446,10.48796805
0,6264_13991,0.0756574,0.0979337,0.1062909,0.08402982,0.090977955,19776.23304,9.892236144
0,6264_13992,0.08338325,0.11055305,0.12099463,0.0991773,0.103527058,13152.22279,9.484346057
0,6265_13986,0.04885248,0.047969803,0.020321786,0.025243951,0.035597005,562.3178932,6.332067336
0,6265_13987,0,0.004988466,0.044435166,0,0.012355908,5297.235524,8.574940364
0,6265_13988,0,0.027652446,0.051245287,0.02362725,0.025631246,2265.502309,7.725551783
0,6265_13989,0.04734062,0.07565995,0.097437054,0.038471643,0.064727317,0,#NUM!
0,6265_13990,0.09882297,0.11023081,0.21626288,0.12253383,0.136962623,34447.77418,10.44719966
0,6265_13991,0.11811894,0.11954564,0.12488027,0.12347597,0.121505205,93169.72683,11.44217813
0,6265_13992,0.07566345,0.08382086,0.112982035,0.07238943,0.086213944,2141.209492,7.669126132
0,6265_13993,0.051859993,0.076269515,0.11060301,0.08146672,0.08004981,23014.49321,10.04387944
0,6266_13986,0.114078775,0.116333276,0.13942677,0.1341717,0.12600263,55792.89062,10.92940173
0,6266_13987,0.033676665,0.07983187,0.09225172,0.07102656,0.069196704,21637.14573,9.982166826
0,6266_13988,0,0.039003402,0.012920555,0,0.012980989,1925.28479,7.562829179
0,6266_13989,0.05622056,0.047705863,0.04379274,0.017888233,0.041401849,2449.239758,7.803532953
0,6266_13990,0.08489794,0.08502389,0.11957261,0.07515142,0.091161465,148654.5558,11.90938048
0,6266_13991,0.07606533,0.093604624,0.10406087,0.089942984,0.090918452,34573.15318,10.45083274
0,6266_13992,0.08563402,0.09370363,0.11106064,0.09891631,0.09732865,51715.03777,10.85350388
0,6266_13993,0.07765686,0.085585445,0.11824255,0.095024124,0.094127245,29585.36713,10.29503516
0,6267_13986,0.010500301,0.02268293,0.053509317,0.02423218,0.027731182,35130.39133,10.46682188
0,6267_13987,0.07463759,0.06497146,0.06919334,0.057727873,0.066632566,35865.24447,10.48752398
0,6267_13988,0,0,0,0,0,156.2029789,5.051156308
0,6267_13989,0,0.044575598,0.01843312,0.007718828,0.017681886,1937.005377,7.568898439
0,6267_13990,0.104761824,0.12921323,0.13676342,0.112767875,0.120876587,98772.46612,11.50057416
