district,y_x,score,
0,6269_13992,0.238928,
0,6269_13993,0.255665643,
0,6269_13994,0.204591668,
0,6269_13995,0.122846697,
0,6270_13985,0.060580891,
0,6270_13986,0.093948528,
0,6270_13987,0.100662812,
0,6270_13988,0.056127104,
0,6270_13989,0.13954201,
0,6270_13990,0.310981903,
0,6270_13991,0.373930663,
0,6270_13992,0.273554528,
0,6270_13993,0.294711643,
0,6270_13994,0.211467023,
0,6270_13995,0.098698114,
0,6271_13987,0.04111558,
0,6271_13988,0.101633293,
0,6271_13989,0.15482619,
0,6271_13990,0.210562005,
0,6271_13991,0.243812203,
0,6271_13992,0.256989608,
0,6271_13993,0.375198778,
0,6271_13994,0.21398853,
0,6271_13995,0.067854881,
0,6272_13988,0.07692178,
0,6272_13989,0.184761228,
0,6272_13990,0.106451262,
0,6272_13991,0.105926296,
0,6272_13992,0.101812479,
0,6272_13993,0.126324099,
0,6273_13988,0.056492078,
0,6273_13989,0.168708728,
0,6273_13990,0.067311798,
1,6269_13982,0.013075588,
1,6269_13983,0.071047438,
1,6270_13982,0.117897114,
1,6270_13983,0.025999725,
1,6271_13981,0.09350383,
1,6271_13982,0.049082189,
1,6271_13983,0.076539013,
1,6271_13984,0.131778098,
1,6272_13981,0.091346132,
1,6272_13982,0.1318487,
1,6272_13983,0.052496275,
1,6272_13984,0.074093688,
1,6272_13985,0.055414641,
1,6272_13986,0.02264021,
1,6273_13981,0.0747516,
1,6273_13982,0.039817667,
1,6273_13983,0.121724206,
1,6273_13984,0.076829228,
1,6273_13985,0.076163483,
1,6273_13986,0.105851614,
1,6273_13987,0.07272388,
1,6274_13980,0.055092771,
1,6274_13981,0.124930777,
1,6274_13982,0.078553664,
1,6274_13983,0.146835218,
1,6274_13984,0.062711157,
1,6274_13985,0.17580384,
1,6274_13986,0.096622925,
1,6274_13987,0.046665849,
1,6274_13988,0.066044616,
1,6275_13980,0.131331611,
1,6275_13981,0.09890633,
1,6275_13982,0.077072616,
1,6275_13983,0.116173908,
1,6275_13984,0.144678413,
1,6275_13985,0.183142225,
